,6,"m",14,"Hagos","Gebrhiwet","ETH"
,6,"m",15,"Isiah","Kiplangat Koech","KEN"
,6,"m",16,"John","Kipkoech","KEN"
,6,"m",17,"Lopez","Lomong","USA"
,6,"m",18,"Chris","Derrick","USA"
,6,"m",19,"Evan","Jager","USA"
,6,"m",20,"Berhanu","Legese","ETH"
,7,"m",1,"Galen","Rupp","USA"
,7,"m",2,"Paul","Kipngetich Tanui","KEN"
,7,"m",3,"Bedan","Karoki Muchiri","KEN"
,7,"m",4,"Stephen","Sambu","KEN"
,7,"m",5,"Leonard","Barsoton","KEN"
,7,"m",6,"Emmanuel","Kipkemei Bett","KEN"
,7,"m",7,"James","Mwangi","KEN"
,7,"m",8,"William","Malel Sitonik","KEN"
,7,"m",9,"Edward","Waweru","KEN"
,7,"m",10,"Karemi","Jeremiah Thuku","KEN"
,7,"m",11,"Kenneth","Kiprop Kipkemoi","KEN"
,7,"m",12,"El","Hassan Elabbassi","BRN"
,7,"m",13,"Juan","Luis Barrios","MEX"
,7,"m",14,"Cameron","Levins","CAN"
,7,"m",15,"Million","Zewdie","ETH"
,7,"m",16,"Bashir","Abdi","BEL"
,7,"m",17,"Daniele","Meucci","ITA"
,7,"m",18,"Bernard","Kimani","KEN"
,7,"m",19,"Shadrack","Kipchirchir","KEN"
,7,"m",20,"Patrick","Muendo Mwaka","KEN"
,8,"m",1,"Dennis","Kipruto Kimetto","KEN"
,8,"m",2,"Emmanuel","Kipchirchir Mutai","KEN"
,8,"m",3,"Eliud","Kipchoge","KEN"
,8,"m",4,"Sammy","Kirop Kitwara","KEN"
,8,"m",5,"Wilson","Kipsang Kiprotich","KEN"
,8,"m",6,"Tsegaye","Mekonnen","ETH"
,8,"m",7,"Dickson","Kiptolo Chumba","KEN"
,8,"m",8,"Stanley","Kipleting Biwott","KEN"
,8,"m",9,"Kenenisa","Bekele","ETH"
,8,"m",10,"Markos","Geneti","ETH"
,8,"m",11,"Getu","Feleke","ETH"
,8,"m",12,"Girmay","Birhanu","ETH"
,8,"m",13,"Abera","Kuma","ETH"
,8,"m",14,"Tadese","Tola","ETH"
,8,"m",15,"Bernard","Kiprop Koech","KEN"
,8,"m",16,"Tamirat","Tola","ETH"
,8,"m",17,"Yacob","Jarso","ETH"
,8,"m",18,"Tilahun","Regassa","ETH"
,8,"m",19,"Bernard","Kiprop Kipyego","KEN"
,8,"m",20,"Stephen","Kwelio Chemlany","KEN"
,9,"m",1,"Jairus","Kipchoge Birech","KEN"
,9,"m",2,"Mahiedine","Mekhissi","FRA"
,9,"m",3,"Ezekiel","Kemboi","KEN"
,9,"m",4,"Brimin","Kiprop Kipruto","KEN"
,9,"m",5,"Evan","Jager","USA"
,9,"m",6,"Paul","Kipsiele Koech","KEN"
,9,"m",7,"Hillary","Kipsang Yego","KEN"
,9,"m",8,"Conseslus","Kipruto","KEN"
,9,"m",9,"Jonathan","Muia Ndiku","KEN"
,9,"m",10,"Gilbert","Kiplangat Kirui","KEN"
,9,"m",11,"Matthew","Hughes","CAN"
